Destination,Passanger,Weather,Temperature,Time,Coupon,Expiration,Gender,Age,MaritalStatus,HasChildren,Education,Occupation,Income,Car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,Coupon_GEQ15min,Coupon_GEQ25min,DirectionSame,UseCoupon
2,3,3,55,10,4,24,2,5,5,1,3,11,8,3,3,6,6,6,3,1,1,0,0,1,1
2,3,3,55,14,3,2,1,2,2,0,1,14,8,3,3,2,2,2,2,1,0,0,0,1,1
2,1,2,30,22,3,24,1,4,2,0,2,17,2,3,6,5,4,6,5,1,1,0,0,1,1
3,3,2,80,22,3,24,1,7,5,1,3,21,5,3,5,5,2,6,3,1,0,0,1,0,0
2,4,2,55,14,4,24,1,5,5,1,1,4,7,3,2,2,6,3,3,1,1,0,0,1,0
1,3,1,30,7,5,2,2,4,5,0,2,2,1,3,2,2,4,6,3,1,1,1,0,1,0
1,3,2,80,7,4,2,1,4,5,1,3,16,8,3,5,5,6,4,6,1,0,0,1,0,0
3,3,2,80,18,4,24,2,4,5,0,2,25,5,3,5,5,3,4,3,1,0,0,1,0,0
3,3,2,55,18,1,24,2,4,1,0,2,17,7,3,2,3,4,6,3,1,0,0,1,0,1
2,1,2,80,14,4,2,2,7,2,1,2,22,4,3,5,2,3,3,3,1,1,0,0,1,1
2,2,2,80,10,4,2,1,8,5,0,2,20,4,3,5,2,4,4,3,1,0,0,0,1,0
3,3,2,55,18,2,2,2,8,3,1,3,22,4,3,2,3,6,3,2,1,1,0,0,1,0
1,3,3,55,7,1,24,2,4,5,1,1,25,1,3,5,6,6,6,2,1,1,1,0,1,0
3,3,2,55,18,2,2,2,5,3,1,3,23,2,3,5,4,4,4,3,1,1,0,0,1,0
3,3,2,80,18,4,24,2,2,2,0,2,23,5,3,5,5,5,4,2,1,0,0,0,1,0
1,3,3,55,7,1,24,2,2,1,0,1,5,6,3,2,5,3,2,5,1,1,1,0,1,0
3,3,2,80,18,4,24,1,2,2,1,1,23,3,3,6,6,6,3,5,1,0,0,0,1,1
3,3,2,80,18,4,2,2,5,1,0,3,14,6,3,3,4,6,4,3,1,1,1,0,1,0
1,3,2,55,7,4,2,1,6,5,1,3,16,6,3,3,3,3,6,2,1,1,1,0,1,0
2,2,2,80,18,5,24,1,5,5,0,3,22,1,3,3,2,3,6,3,1,0,0,0,1,1
3,3,2,80,22,5,2,2,3,1,0,3,14,4,3,2,2,3,2,5,1,0,0,1,0,0
1,3,2,80,7,2,24,2,7,2,1,3,16,7,3,5,5,4,6,2,1,1,0,0,1,1
2,1,2,30,22,3,24,2,4,5,1,1,25,1,3,5,6,6,6,2,1,1,0,0,1,1
3,3,2,80,22,5,2,1,1,2,0,2,23,6,3,5,3,6,3,2,1,0,0,1,0,0
3,3,2,80,18,4,24,2,4,1,1,1,22,4,3,3,2,6,6,2,1,0,0,1,0,0
3,3,2,80,18,4,2,2,3,1,0,1,16,6,3,3,4,4,4,4,1,1,1,0,1,0
2,4,2,80,14,5,24,2,6,5,1,1,4,1,3,3,2,2,3,3,1,0,0,0,1,1
1,3,2,30,7,1,24,2,6,2,1,1,12,7,3,2,2,3,3,2,1,1,0,1,0,0
2,1,2,80,10,1,24,1,5,2,0,1,4,1,3,2,3,4,4,3,1,0,0,0,1,1
2,1,2,30,22,3,24,1,7,2,0,2,19,9,3,6,6,3,2,3,1,1,0,0,1,1
2,1,2,80,10,4,2,2,8,2,0,1,25,9,3,5,5,2,2,5,1,1,0,0,1,1
2,3,3,55,10,1,24,2,2,1,0,2,17,3,3,5,5,3,5,5,1,1,0,0,1,1
1,3,3,55,7,3,24,1,5,1,0,1,8,6,3,6,3,4,4,3,1,0,0,0,1,1
2,1,1,30,14,5,24,2,2,1,0,2,25,8,3,3,4,6,6,2,1,0,0,0,1,1
1,3,1,30,7,1,24,1,5,5,1,5,6,1,3,5,2,6,3,2,1,1,1,0,1,0
3,3,2,80,22,1,24,1,2,2,0,1,6,2,3,2,3,4,4,3,1,1,0,1,0,1
1,3,2,80,7,2,2,1,8,3,1,2,19,4,3,3,6,6,4,6,1,0,0,1,0,1
1,3,1,30,7,3,24,2,8,4,1,2,10,9,3,5,5,3,6,2,1,1,0,1,0,1
2,1,1,30,10,3,24,2,4,1,1,1,6,6,3,5,6,6,4,6,1,1,0,0,1,0
